time,measurement_id,x,y,is_validated_for_T0
1,0,293.74414515985,3.0,0
2,0,293.438956437606,3.0,1
3,0,293.286362076484,3.0,1
4,0,292.675984631996,3.01,1
5,0,292.44709309031305,3.03,1
6,0,292.141904368069,3.04,1
7,0,291.684121284703,3.02,1
8,0,291.378932562459,3.04,1
9,0,291.378932562459,3.05,1
10,0,291.226338201337,3.07,1
11,0,290.539663576288,3.07,1
12,0,290.539663576288,3.06,1
13,0,290.158177673483,3.08,1
14,0,290.08188049292204,3.09,1
15,0,289.54780022899496,3.09,1
16,0,289.013719965068,3.1,1
17,0,289.013719965068,3.11,1
18,0,288.708531242824,3.12,1
19,0,288.40334252058,3.11,1
20,0,288.17445097889697,3.13,1
21,0,287.716667895531,3.14,1
