Time,Range,Angle,X,Y,Velocity
0,293.74414515985,3.0,-37.74003854159787,15.019585638993348,10.789412505668365
1,293.438956437606,3.03,-37.41521657734694,15.134791911041333,10.789412505668365
2,293.286362076484,3.01,-37.27300892118865,15.016791567702903,10.789412505668365
3,292.675984631996,3.0,-36.663706246909044,14.896071210620342,10.789412505668365
4,292.37079590975196,3.03,-36.33891686578937,15.010710216964512,10.789412505668365
5,292.065607187508,3.06,-36.01407683306735,15.125017058651842,10.789412505668365
6,291.91301282638597,3.03,-35.87761084545809,14.957528345896549,10.789412505668365
7,291.607824104142,3.05,-35.558552483111214,15.021753171242523,10.789412505668365
8,291.302635381898,3.02,-35.268238958512825,14.83682722109193,10.789412505668365
9,291.150041020776,3.06,-35.09147162657382,15.01816457942462,10.789412505668365
10,290.84485229853203,3.08,-34.772387373651384,15.08195124332854,10.789412505668365
11,290.463366395727,3.06,-34.3994622633183,14.938018797033756,10.789412505668365
12,290.158177673483,3.1,-34.06884774893376,15.100722188338992,10.789412505668365
13,290.08188049292204,3.11,-33.98617880511091,15.141328247091899,10.789412505668365
14,289.54780022899496,3.12,-33.44217237977324,15.127987172252212,10.789412505668365
15,289.318908687312,3.1,-33.22303582113108,15.00216514532763,10.789412505668365
16,289.013719965068,3.11,-32.90969189826336,15.015701689899437,10.789412505668365
17,288.708531242824,3.11,-32.60210264101363,14.979805870663846,10.789412505668365
18,288.40334252058,3.1,-32.300249237007336,14.89463873895729,10.789412505668365
19,288.098153798336,3.11,-31.98689516316898,14.908010852155897,10.789412505668365
20,287.792965076092,3.14,-31.66202647070793,15.019594057209737,10.789412505668365
